observation_id      source  product_id  observatory     mjd_start      mjd_stop  exposure  moving_target_id  designation  small_body           mjd          tmtp         ra         dec       rh    delta   phase   selong  true_anomaly   sangle   vangle     unc_a    unc_b   unc_th    vmag
       1148628  lsst-dp0.2   193190063          X05  59839.354302  59839.354649    30.000                20    C/2022 R6        true  59839.354302  -1073.181086  55.163170  -39.654648   9.5580   9.1074   5.523  113.835       292.044  107.971   86.773     0.328    0.324   79.785  18.940
       1148944  lsst-dp0.2   212804001          X05  59868.175796  59868.176143    30.000                20    C/2022 R6        true  59868.175796  -1044.359592  54.127855  -41.850018   9.4315   8.8805   5.206  120.903       293.189  140.714   88.722     0.324    0.310   54.034  18.838
       1194847  lsst-dp0.2   194109108          X05  59840.369887  59840.370234    30.000                20    C/2022 R6        true  59840.369887  -1072.165501  55.155143  -39.741147   9.5535   9.0973   5.508  114.210       292.084  109.008   86.827     0.327    0.323   76.062  18.936
       1203972  lsst-dp0.2   199652164          X05  59849.273294  59849.273641    30.000                20    C/2022 R6        true  59849.273294  -1063.262094  54.992389  -40.479952   9.5143   9.0150   5.382  117.149       292.435  118.493   87.349     0.322    0.319   48.885  18.902
       1693172  lsst-dp0.2   235082130          X05  59904.085038  59904.085385    30.000                20    C/2022 R6        true  59904.085038  -1008.450350  51.186597  -43.128877   9.2754   8.7864   5.450  116.902       294.659  185.261   91.592     0.344    0.293   36.106  18.758
       1693241  lsst-dp0.2   235084040          X05  59904.085945  59904.086292    30.000                20    C/2022 R6        true  59904.085945  -1008.449443  51.186514  -43.128882   9.2754   8.7864   5.450  116.902       294.659  185.262   91.592     0.344    0.293   36.105  18.758
       1739321  lsst-dp0.2   180002116          X05  59819.291257  59819.291604    30.000                20    C/2022 R6        true  59819.291257  -1093.244131  54.878343  -37.916120   9.6467   9.3331   5.804  105.154       291.265   89.286   85.980     0.361    0.333  -77.446  19.025
       1904971  lsst-dp0.2   206030169          X05  59859.160721  59859.161068    30.000                20    C/2022 R6        true  59859.160721  -1053.374667  54.622837  -41.238924   9.4709   8.9375   5.269  119.578       292.828  129.807   88.030     0.321    0.314   52.096  18.867
       2012787  lsst-dp0.2   189323072          X05  59832.248476  59832.248823    30.000                20    C/2022 R6        true  59832.248476  -1080.286912  55.158380  -39.041825   9.5894   9.1819   5.629  111.020       291.766  100.972   86.434     0.336    0.327  -86.289  18.969
       2013037  lsst-dp0.2   190492133          X05  59835.345590  59835.345937    30.000                20    C/2022 R6        true  59835.345590  -1077.189798  55.173448  -39.310266   9.5757   9.1487   5.583  112.287       291.887  103.968   86.574     0.332    0.326  -28.221  18.956
       2013138  lsst-dp0.2   206022045          X05  59859.157145  59859.157492    30.000                20    C/2022 R6        true  59859.157145  -1053.378243  54.623011  -41.238663   9.4710   8.9376   5.269  119.577       292.827  129.803   88.029     0.321    0.314   52.095  18.867
       2013282  lsst-dp0.2   206034000          X05  59859.162509  59859.162856    30.000                20    C/2022 R6        true  59859.162509  -1053.372879  54.622750  -41.239054   9.4709   8.9375   5.269  119.578       292.828  129.809   88.030     0.321    0.314   52.097  18.867
       2048904  lsst-dp0.2   190283015          X05  59835.250853  59835.251200    30.000                20    C/2022 R6        true  59835.250853  -1077.284535  55.173477  -39.302045   9.5761   9.1497   5.584  112.249       291.883  103.875   86.569     0.332    0.326  -45.111  18.957
       2049112  lsst-dp0.2   190287048          X05  59835.252649  59835.252996    30.000                20    C/2022 R6        true  59835.252649  -1077.282739  55.173477  -39.302201   9.5761   9.1496   5.584  112.250       291.883  103.876   86.569     0.332    0.326  -44.791  18.957
       2049539  lsst-dp0.2   190502097          X05  59835.350161  59835.350508    30.000                20    C/2022 R6        true  59835.350161  -1077.185227  55.173446  -39.310661   9.5757   9.1486   5.583  112.289       291.887  103.972   86.574     0.332    0.326  -27.406  18.956
       2134200  lsst-dp0.2   167863112          X05  59803.353136  59803.353483    30.000                20    C/2022 R6        true  59803.353136  -1109.182252  54.076859  -36.590663   9.7175   9.5407   5.943   97.060       290.655   76.508   85.716     0.408    0.340  -69.752  19.098
       2241979  lsst-dp0.2   532830170          X05  60362.075377  60362.075724    30.000                20    C/2022 R6        true  60362.075377   -550.460011  71.709837  -35.135651   7.5176   7.4575   7.557   89.702       318.389  257.281   75.649     0.223    0.209  -63.573  17.672
